unit_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,source_backbone
U10,U10_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 16 - Death and Dying
U11,U11_Q01_source,Which source backbone maps to U11 - Patient/Resident Abuse I: Recognition and Prevention?,multichoice,Module 17 - Patient/Resident Abuse,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U11 is mapped to Module 17 - Patient/Resident Abuse within the 12 unit x 2 hour CNA course.,easy,Module 17 - Patient/Resident Abuse
U11,U11_Q02_priority,A CNA encounters resident fear statement with new unexplained bruising. What is the best action?,multichoice,wait until the end of shift,"ensure immediate safety as directed, report concern promptly, and document objective facts","investigate privately, confront the suspected person, or stay silent",enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 17 - Patient/Resident Abuse
U11,U11_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,"investigate privately, confront the suspected person, or stay silent",protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 17 - Patient/Resident Abuse
U11,U11_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,"Resident stated, 'Please do not leave me with that person'; flinched when caregiver entered; new upper-arm bruising observed; nurse/supervisor notified.",D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 17 - Patient/Resident Abuse
U11,U11_Q05_term,What does Mandated reporter mean in this unit?,multichoice,a certificate approval number,a person legally required to report suspected abuse through required channels,a clinical skill checkoff,a copied source page,B,Mandated reporter means a person legally required to report suspected abuse through required channels.,easy,Module 17 - Patient/Resident Abuse
U11,U11_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,recognizing possible abuse while avoiding accusation or investigation,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 17 - Patient/Resident Abuse
U11,U11_Q07_completion,What evidence should Moodle retain for U11?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 17 - Patient/Resident Abuse
U11,U11_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 17 - Patient/Resident Abuse
U11,U11_Q09_scenario,"In the scenario for U11, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"ensure immediate safety as directed, report concern promptly, and document objective facts",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 17 - Patient/Resident Abuse
U11,U11_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 17 - Patient/Resident Abuse
U12,U12_Q01_source,Which source backbone maps to U12 - Patient/Resident Abuse II: Reporting and Response?,multichoice,Module 17 - Patient/Resident Abuse,Old ContentV2 M00-M07,An 8 module x 3 hour structure,A copied government form,A,U12 is mapped to Module 17 - Patient/Resident Abuse within the 12 unit x 2 hour CNA course.,easy,Module 17 - Patient/Resident Abuse
U12,U12_Q02_priority,A CNA encounters resident disclosure of possible financial exploitation and request for secrecy. What is the best action?,multichoice,wait until the end of shift,"listen calmly, do not promise secrecy, report through required channels, and document facts",promise secrecy or investigate the family member independently,enter real resident details into Moodle,B,"The CNA observes, reports, documents, and follows policy within scope.",medium,Module 17 - Patient/Resident Abuse
U12,U12_Q03_scope,Which action is outside CNA scope for this unit?,multichoice,reporting facts to licensed staff,following the care plan,promise secrecy or investigate the family member independently,protecting privacy,C,The listed unsafe action exceeds CNA role or violates course guardrails.,medium,Module 17 - Patient/Resident Abuse
U12,U12_Q04_charting,Which entry is the most objective?,multichoice,Resident was bad and annoying.,Resident probably has a new diagnosis.,I think the family caused this.,"Resident stated, 'My nephew takes my bank card and yells when I ask for it back'; resident reports no money for preferred hygiene items; supervisor notified.",D,"Objective documentation records facts, statements, observations, and notification.",medium,Module 17 - Patient/Resident Abuse
U12,U12_Q05_term,What does Financial abuse mean in this unit?,multichoice,a certificate approval number,"misuse, theft, or coercive control of a resident's money or property",a clinical skill checkoff,a copied source page,B,"Financial abuse means misuse, theft, or coercive control of a resident's money or property.",easy,Module 17 - Patient/Resident Abuse
U12,U12_Q06_interaction,Which active learner interaction best supports this unit?,multichoice,passively opening the certificate,copying a government form,completing final abuse-response decision path and attestation,skipping the scenario,C,Active interaction requires the learner to apply judgment to the unit scenario.,easy,Module 17 - Patient/Resident Abuse
U12,U12_Q07_completion,What evidence should Moodle retain for U12?,multichoice,only a verbal promise,clinical-hour attendance,a source PDF page copied into Moodle,"page/lesson completion, interaction result, quiz attempt, reflection/attestation, and completion status",D,"The evidence model uses Moodle logs, attempts, submissions, and completion records.",medium,Module 17 - Patient/Resident Abuse
U12,U12_Q08_status,Which statement is compliance-safe before approval is issued?,multichoice,Draft / Pending CDPH Approval; do not issue certificates yet,CDPH approved and ready for certificates,Clinical hours are included,This course replaces all renewal requirements,A,The course must not claim approval or issue certificates until approval status allows it.,easy,Module 17 - Patient/Resident Abuse
U12,U12_Q09_scenario,"In the scenario for U12, what should the learner do first?",multichoice,diagnose the cause,ignore the resident statement,"listen calmly, do not promise secrecy, report through required channels, and document facts",post details online,C,The first safe response is the scope-safe reporting/support action.,medium,Module 17 - Patient/Resident Abuse
U12,U12_Q10_guardrail,Which guardrail applies to this unit?,multichoice,Use real resident names for realism,Brand original CCCCO/NATP pages as course pages,Enable certificate issuance while pending approval,"Use fictional, de-identified examples and do not count clinical/simulation hours",D,"The course uses de-identified examples, online CE only, and no approval claim.",hard,Module 17 - Patient/Resident Abuse
