clip_id,type,objective_number,title,transcript,source_reference,voice_reference,generated_status,approval_status,final_path,review_note
M10-O14-Cuff_Placement_Coach,activity_instruction,14,Cuff Placement Coach,"Activity: Cuff Placement Coach. Use the source guidance for Objective 14 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13-14,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O14-Do_Not_Use_This_Arm,activity_instruction,14,Do Not Use This Arm,"Activity: Do Not Use This Arm. Use the source guidance for Objective 14 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13-14,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O15-INTRO,objective_intro,15,Objective 15 intro,Objective 15: Discuss observation and reporting of patient’s/resident’s pain. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-14-15-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O15-Pain_Scale_Role_Play,activity_instruction,15,Pain Scale Role Play,"Activity: Pain Scale Role Play. Use the source guidance for Objective 15 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-14-15-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O15-Nonverbal_Pain_Clue_Hunt,activity_instruction,15,Nonverbal Pain Clue Hunt,"Activity: Nonverbal Pain Clue Hunt. Use the source guidance for Objective 15 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-14-15-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O15-Bias_Check_Scenario,activity_instruction,15,Bias Check Scenario,"Activity: Bias Check Scenario. Use the source guidance for Objective 15 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-14-15-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O16-INTRO,objective_intro,16,Objective 16 intro,"Objective 16: Record vital signs on chart, graph, and Nursing Assistant notes. This is source-traced theory instruction only.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O16-TPRBP_Charting_Sandbox,activity_instruction,16,TPR/BP Charting Sandbox,"Activity: TPR/BP Charting Sandbox. Use the source guidance for Objective 16 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O16-Find_the_Charting_Error,activity_instruction,16,Find the Charting Error,"Activity: Find the Charting Error. Use the source guidance for Objective 16 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O16-Report_+_Record_Simulati,activity_instruction,16,Report + Record Simulation,"Activity: Report + Record Simulation. Use the source guidance for Objective 16 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
