Project,Title,app.location,Narration
CNA Recertification Theory + Clinical Support,M10 L12 C70 01 Activity,module.m10.lesson.l12.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L12 C90 Challenge,module.m10.lesson.l12.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 12: Practice check: For CCCCO Module 10 Objective 12, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L12 C91 Debrief,module.m10.lesson.l12.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 12. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L13 C01 Overview,module.m10.lesson.l13.card.c01_overview,"CCCCO Module 10 Objective 13 focuses on: Identify parts of the blood pressure equipment. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L13 C02 01 Delivery,module.m10.lesson.l13.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 13: Identify parts of the blood pressure equipment. A. Manual sphygmomanometer a. Cuff b. Bulb c. Manometer (aneroid or mercury column) 2. Stethoscope B. Electronic (automated) sphygmomanometer 1. Cuff is attached to patient 2. Cuff automatically inflates and deflates 3. Blood pressure displayed digitally 4. Stethoscope not required C. Some facilities may use a monitoring device that measures other vital signs such as pulse rate, temperature and blood oxygen levels as well as blood pressure B. Show equipment

CNA scope boundary: Blood-pressure equipment handling remains a hands-on clinical competency; online theory introduces parts and reporting boundaries."
CNA Recertification Theory + Clinical Support,M10 L13 C70 01 Activity,module.m10.lesson.l13.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L13 C90 Challenge,module.m10.lesson.l13.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 13: Practice check: For CCCCO Module 10 Objective 13, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L13 C91 Debrief,module.m10.lesson.l13.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 13. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L14 C01 Overview,module.m10.lesson.l14.card.c01_overview,"CCCCO Module 10 Objective 14 focuses on: Discuss the procedure for taking a blood pressure reading. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L14 C02 01 Delivery,module.m10.lesson.l14.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 14: Discuss the procedure for taking a blood pressure reading. A. Guidelines 1. Blood pressure commonly is measured at the brachial artery 2. The popliteal artery (behind the knee) may also be used 3. Blood pressure measurements at a site other than the brachial artery must be ordered by a doctor 4. Patient/resident should be at rest; check position order (LSS- lying, Blood Pressure-One step Blood Pressure-Two measurement of blood pressure C. Reports abnormal blood pressure to licensed nurse sitting, standing) 5. Make sure manometer is properly calibrated (reads “0” when

CNA scope boundary: Taking a blood-pressure reading remains a hands-on clinical competency; online theory introduces the procedure and reporting boundaries."
CNA Recertification Theory + Clinical Support,M10 L14 C02 02 Delivery,module.m10.lesson.l14.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 10, Objective 14: no air is in cuff) 6. Use appropriate sized cuff for the limb being used to measure blood pressure a. Cuff that is too narrow or small gives a false high reading b. Cuff below the level of the heart will give a false high reading c. Improperly placed cuff or too loose cuff gives a false low reading d. Alternative sizes of blood pressure cuffs such as wide, large, and/or thigh cuffs 7. Do not take the blood pressure on an arm or side with injury or

CNA scope boundary: Taking a blood-pressure reading remains a hands-on clinical competency; online theory introduces the procedure and reporting boundaries."
CNA Recertification Theory + Clinical Support,M10 L14 C02 03 Delivery,module.m10.lesson.l14.card.c02_03_delivery,"Source-supported teaching from CCCCO Module 10, Objective 14: medical equipment present such as a. IV line b. Burns or injuries c. Paralysis due to stroke d. Amputation e. Cast f. Recent trauma g. Site used for dialysis h. Mastectomy or surgery on the breast 8. Position the patient’s/resident’s arm level with the heart 9. Apply blood pressure cuff to bare arm (not over clothing) 10. Position the sphygmomanometer at the Nursing Assistant’s eye level 11. Measurement techniques a. One step; no estimation of systolic pressure before measurement b. Two step; estimation of systolic pressure before

CNA scope boundary: Taking a blood-pressure reading remains a hands-on clinical competency; online theory introduces the procedure and reporting boundaries."
CNA Recertification Theory + Clinical Support,M10 L14 C90 Challenge,module.m10.lesson.l14.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 14: Practice check: For CCCCO Module 10 Objective 14, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L14 C91 Debrief,module.m10.lesson.l14.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 14. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L15 C01 Overview,module.m10.lesson.l15.card.c01_overview,"CCCCO Module 10 Objective 15 focuses on: Discuss observation and reporting of patient’s/resident’s pain. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L15 C02 01 Delivery,module.m10.lesson.l15.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 15: Discuss observation and reporting of patient’s/resident’s pain. A. Pain was known as the 5th vital sign, but has measurable effects on vital signs 1. Pain is not a normal part of aging 2. Pain is a warning or distress signal by the body that something is wrong 3. Nursing Assistants may be the first to notice that patient/resident is in pain 4. Nursing Assistant must use skills of observation, as some patients/residents may not verbally indicate they have pain 5. Each person’s response to pain may be different

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L15 C02 02 Delivery,module.m10.lesson.l15.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 10, Objective 15: 6. Culture may play an important part on a patient’s/resident’s reaction to having pain 7. Pain may cause or increase anxiety and or stress 8. Take complaints of pain seriously, avoid judging 9. Types of pain: a. Acute pain b. Chronic pain c. Phantom pain B. Signs of Pain 1. Increased pulse, respirations, blood pressure 2. Sighing, moaning, groaning, or crying 3. Nausea, vomiting 4. Sweating 5. Squeezing eyes shut, tightening jaw, grinding teeth, holding a body part tightly 6. Increased restlessness, agitation or tension

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L15 C02 03 Delivery,module.m10.lesson.l15.card.c02_03_delivery,"Source-supported teaching from CCCCO Module 10, Objective 15: 7. Difficulty moving, positioning or walking C. Guidelines for observation and reporting of pain 1. Ask patient/resident if they are in any pain. 2. Use pain scale 3. Ask patient/resident to describe the pain • Location • Frequency (continuous, off and on) • Duration (how long pain lasts) • Pain quality (nature and type of pain) 4. Observe facial expression, movement, respiration 5. Ask patient/resident level of pain using facility method 6. Report complaints of pain to licensed nurse Scale scale D. Ask students to share

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L15 C02 04 Delivery,module.m10.lesson.l15.card.c02_04_delivery,"Source-supported teaching from CCCCO Module 10, Objective 15: possible barriers related to pain management B. Observation in clinical D. Nurse Assistant comfort measures 1. Check on patient/resident often and ask if the pain has been relieved 2. Tell patient what you plan to do and how you will do it 3. Avoid sudden, jerking movement when repositioning 4. Offer backrubs (if indicated) 5. Listen to patient/resident concerns, provide emotional support 6. Maintain a clean, comfortable, quiet environment 7. Eliminate unpleasant sounds, sights, odors from the environment

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L15 C90 Challenge,module.m10.lesson.l15.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 15: Practice check: For CCCCO Module 10 Objective 15, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L15 C91 Debrief,module.m10.lesson.l15.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 15. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M10 L16 C01 Overview,module.m10.lesson.l16.card.c01_overview,"CCCCO Module 10 Objective 16 focuses on: Record vital signs on chart, graph, and Nursing Assistant notes. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M10 L16 C02 01 Delivery,module.m10.lesson.l16.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 10, Objective 16: Record vital signs on chart, graph and Nursing Assistant notes. A. Charting temperature, pulse, respiration (TPR) 1. Report normal and abnormal TPR to licensed nurse 2. Record on hospital flow sheets, graphic records, and Nursing Assistant notes according to facility policies. Record in the order of TPR 3. Record temperature a. Chart rectal temperature with an” R” (example 101F (R)) b. Chart an axillary temperature with an “AX” (example 101F (Ax)) 4. Pulse readings other than radial must be noted (example; Apical pulse 86 (a)

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L16 C02 02 Delivery,module.m10.lesson.l16.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 10, Objective 16: 5. Record respiratory rate B. Charting blood pressure 1. Record and report abnormal high or low reading to licensed nurse 2. Write on chart as a fraction: systolic/diastolic (example 120/80) 3. If taken in a place other than arm, note location (example 150/90-thigh) B. Provide facility flow chart and/or graphic sheets for students to practice recording vital signs B. Accurately records vital signs on facility flow charts and graphic sheets according to facility policy

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M10 L16 C70 01 Activity,module.m10.lesson.l16.card.c70_01_activity,"Active learning task: use the CCCCO Module 10 terms for this objective (Temperature: Blood Pressure Pulse Respiration Pain (effects , Vital signs), Afebrile, Axilla, Celsius, Fahrenheit) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M10 L16 C90 Challenge,module.m10.lesson.l16.card.c90_challenge,"Practice challenge for CCCCO Module 10 Objective 16: Practice check: For CCCCO Module 10 Objective 16, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M10 L16 C91 Debrief,module.m10.lesson.l16.card.c91_debrief,"Debrief for CCCCO Module 10 Objective 16. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M11 L01 C01 Overview,module.m11.lesson.l01.card.c01_overview,"CCCCO Module 11 Objective 1 focuses on: Define key terminology. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M11 L01 C02 01 Delivery,module.m11.lesson.l01.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 11, Objective 1: Define Key Terminology. A. Review the terms listed in the terminology section B. Spell the listed terms accurately C. Pronounce the terms correctly D. Use the terms in their proper context crossword puzzles, Family Feud, Jeopardy, bingo, spelling bee, hangman, and concentration C. Encourage use of dictionary, and textbooks D. Create flashcards for learning purposes five words from the list of key terminology and write a sentence for each defining the term C. Uses appropriate terminology when charting and reporting to licensed personnel

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L01 C70 01 Activity,module.m11.lesson.l01.card.c70_01_activity,"Active learning task: use the CCCCO Module 11 terms for this objective (Allergy, Emesis, Mechanical soft diet, American Dietetic Association, Enteral feeding, Mineral) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M11 L01 C90 Challenge,module.m11.lesson.l01.card.c90_challenge,"Practice challenge for CCCCO Module 11 Objective 1: Practice check: For CCCCO Module 11 Objective 1, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M11 L01 C91 Debrief,module.m11.lesson.l01.card.c91_debrief,"Debrief for CCCCO Module 11 Objective 1. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M11 L02 C01 Overview,module.m11.lesson.l02.card.c01_overview,"CCCCO Module 11 Objective 2 focuses on: Discuss the body’s need for food and fluids. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M11 L02 C02 01 Delivery,module.m11.lesson.l02.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 11, Objective 2: Discuss the body’s need for food and fluids. A. The body depends upon foods and fluids to 1. Provide energy for daily living and bodily functions 2. Promote growth and repair of tissue 3. Provide necessary substances for regulation of bodily functions 4. Meet a basic physiological need for survival B. Nutrition is the science of food and its relationship to health C. A balanced diet is 1. Essential to good health Composed of sufficient nutrients to meet the body’s daily requirements their beliefs about

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L02 C70 01 Activity,module.m11.lesson.l02.card.c70_01_activity,"Active learning task: use the CCCCO Module 11 terms for this objective (Allergy, Emesis, Mechanical soft diet, American Dietetic Association, Enteral feeding, Mineral) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M11 L02 C90 Challenge,module.m11.lesson.l02.card.c90_challenge,"Practice challenge for CCCCO Module 11 Objective 2: Practice check: For CCCCO Module 11 Objective 2, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M11 L02 C91 Debrief,module.m11.lesson.l02.card.c91_debrief,"Debrief for CCCCO Module 11 Objective 2. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M11 L03 C01 Overview,module.m11.lesson.l03.card.c01_overview,"CCCCO Module 11 Objective 3 focuses on: List common nutrients and their food sources. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M11 L03 C02 01 Delivery,module.m11.lesson.l03.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 11, Objective 3: List common nutrients and their food sources. A. Nutrients, their food sources, and functions 1. Carbohydrates a. Grains, pastas, breads, cereals, fruits, vegetables b. Main source of energy c. Provides dietary fiber 2. Proteins a. Eggs, milk, meat, fish, nuts, poultry, cheese, beans, peanut butter, and soy products b. Essential for tissue growth and repair c. Made up of amino acids 3. Fats a. Oils, milk, cream, cheese, meat, fats, butter, mayonnaise b. Provide energy, carry vitamins, conserve body heat, and protect internal organs 4. Vitamins

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L03 C02 02 Delivery,module.m11.lesson.l03.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 11, Objective 3: a. Found in almost all foods, especially vegetables and fruits b. Do not contain calories c. Essential for building and repairing body tissues, assisting in regulation of body functions 5. Minerals a. Found in almost all foods b. Do not contain calories c. Essential for regulation of body functions, building and repairing body tissue 6. Dietary fiber a. Raw fruits and vegetables, whole grain breads and cereals Content Exercise Content Exercise KEY D. Have student bring in empty, labeled food containers. Review labels, identifying nutrients and calories

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L03 C02 03 Delivery,module.m11.lesson.l03.card.c02_03_delivery,"Source-supported teaching from CCCCO Module 11, Objective 3: per container and per serving b. Provides bulk to assist in maintaining normal bowel elimination 7. Fluids a. Water, juices, other beverages b. May or may not provide calories and nutrients c. Water is essential for normal body functioning d. All chemical reactions in the body take place in water

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L03 C70 01 Activity,module.m11.lesson.l03.card.c70_01_activity,"Active learning task: use the CCCCO Module 11 terms for this objective (Allergy, Emesis, Mechanical soft diet, American Dietetic Association, Enteral feeding, Mineral) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M11 L03 C90 Challenge,module.m11.lesson.l03.card.c90_challenge,"Practice challenge for CCCCO Module 11 Objective 3: Practice check: For CCCCO Module 11 Objective 3, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M11 L03 C91 Debrief,module.m11.lesson.l03.card.c91_debrief,"Debrief for CCCCO Module 11 Objective 3. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M11 L04 C01 Overview,module.m11.lesson.l04.card.c01_overview,"CCCCO Module 11 Objective 4 focuses on: Describe the My Pyramid food guidance system. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M11 L04 C02 01 Delivery,module.m11.lesson.l04.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 11, Objective 4: Describe the My Plate food guidance system. A. Grain Group 1. Whole grain bread, cereal, crackers, rice and pasta group 2. Minimum 5-6 ounces/day (women), 6-8 ounces/day (men) B. Vegetable Group 1. Eat more dark green and orange vegetables, dry beans and peas 2. Minimum 2-2 ½ cups/day (women), 2 ½-3 cups (men) C. Fruit Group 1. Fresh, frozen, canned or dried fruits 2. Limit fruit juices 3. Minimum 1 ½-2 cups/day (women), 2 cups (men) D. Dairy Group 1. Milk, yogurt, cheese 2. Choose low fat or non-fat

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L04 C02 02 Delivery,module.m11.lesson.l04.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 11, Objective 4: 3. Minimum 3 cups/day (women and men) E. Protein 1. Meat, poultry, fish, dry beans, eggs, and nuts 2. Minimum 5-5 ½ ounces/day (women), 5 ½-6 ½ ounces/day (men) F. Oil Group 1. Make most oil choices from fish, nuts and vegetable oil 2. Limit solid fats such as butter, lard, and shortening 3. 5-6 teaspoons/day (women), 6-7 teaspoons/day (men) te.gov/ for resources to download C. Assignment: Have students keep a food journal, listing all food and fluids taken in over a 24 hour period. Do

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L04 C02 03 Delivery,module.m11.lesson.l04.card.c02_03_delivery,"Source-supported teaching from CCCCO Module 11, Objective 4: this for one weekday and one weekend day  Compare diets for the two days  Use myplate.gov/ website to identify categories of food  Comment on what influenced diet choices, desired changes, and ideas for making changes

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L04 C70 01 Activity,module.m11.lesson.l04.card.c70_01_activity,"Active learning task: use the CCCCO Module 11 terms for this objective (Allergy, Emesis, Mechanical soft diet, American Dietetic Association, Enteral feeding, Mineral) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M11 L04 C90 Challenge,module.m11.lesson.l04.card.c90_challenge,"Practice challenge for CCCCO Module 11 Objective 4: Practice check: For CCCCO Module 11 Objective 4, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M11 L04 C91 Debrief,module.m11.lesson.l04.card.c91_debrief,"Debrief for CCCCO Module 11 Objective 4. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M11 L05 C01 Overview,module.m11.lesson.l05.card.c01_overview,"CCCCO Module 11 Objective 5 focuses on: Describe the vegan basic four food groups. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M11 L05 C02 01 Delivery,module.m11.lesson.l05.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 11, Objective 5: Describe the vegan basic four food groups. A. Vegetarian diet 1. Excludes meat including game and slaughter by-products; fish, shellfish and other sea animals; poultry 2. Variations may include or exclude milk, fish, eggs, and honey B. Vegan diet excludes all animal products including milk, fish, eggs and honey C. The vegan basic four food groups 1. Whole grains – 5 or more servings each day 2. Vegetables – 3 or more servings each day 3. Fruits – 3 or more servings each day 4. Legumes – 2-3 servings each day

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L05 C70 01 Activity,module.m11.lesson.l05.card.c70_01_activity,"Active learning task: use the CCCCO Module 11 terms for this objective (Allergy, Emesis, Mechanical soft diet, American Dietetic Association, Enteral feeding, Mineral) and sort them into three mental buckets: what you observe, what you report, and what you document. Keep the work de-identified. This strengthens retrieval of the source vocabulary without adding non-CCCCO content."
CNA Recertification Theory + Clinical Support,M11 L05 C90 Challenge,module.m11.lesson.l05.card.c90_challenge,"Practice challenge for CCCCO Module 11 Objective 5: Practice check: For CCCCO Module 11 Objective 5, what is the safest CNA use of this theory?

A) Observe the resident, follow the care plan, report changes, and document according to facility policy.
B) Use the online lesson as permission to perform an unassigned hands-on skill.
C) Delay reporting until the end of the shift if the resident seems stable.
D) Tell the resident or family that the CNA has diagnosed the problem.

Submit a response, then review the debrief. Final assessments never reveal answer keys."
CNA Recertification Theory + Clinical Support,M11 L05 C91 Debrief,module.m11.lesson.l05.card.c91_debrief,"Debrief for CCCCO Module 11 Objective 5. The safest response is to use the source concept within CNA scope: observe the resident, assist only as directed, follow the care plan, report changes, document according to facility policy, and escalate when needed. This online theory does not validate hands-on competency or create clinical-hour credit."
CNA Recertification Theory + Clinical Support,M11 L06 C01 Overview,module.m11.lesson.l06.card.c01_overview,"CCCCO Module 11 Objective 6 focuses on: Discuss nutritional and fluid needs of the elderly. This lesson uses the CCCCO source as the instructional authority. Your CNA role is to understand the theory, recognize reportable situations, follow the care plan, and escalate to licensed staff when needed."
CNA Recertification Theory + Clinical Support,M11 L06 C02 01 Delivery,module.m11.lesson.l06.card.c02_01_delivery,"Source-supported teaching from CCCCO Module 11, Objective 6: Discuss nutritional and fluid needs of the elderly. A. Age-related changes affecting nutritional needs of the elderly 1. Fewer calories may be needed if patient/resident is less active 2. Additional vitamins and minerals may be required due to digestive disturbances 3. Medications may interfere with fluid balance, digestion and nutrient use 4. Poor oral hygiene, loss of teeth, and ill-fitting dentures may lead to poor nutrition 5. Ability to taste foods may be diminished 6. Many common diseases interfere with eating and/or the ability to use nutrients

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
CNA Recertification Theory + Clinical Support,M11 L06 C02 02 Delivery,module.m11.lesson.l06.card.c02_02_delivery,"Source-supported teaching from CCCCO Module 11, Objective 6: 7. Social isolation may interfere with appetite and the body’s utilization of nutrients 8. A patient/resident may need nutritional supplements (such as Ensure or Boost) one to three times a day to meet daily nutrient requirements B. Specific food allergies B. Identify and discuss common food and food allergies B. Identifies specific patients/residents experiencing age- related changes in nutritional needs and reports to licensed nurse C. Reports specific allergies to licensed nurse 1. Know patient’s/resident’s allergies 2. Check every tray served 3. Check for new allergies

CNA scope boundary: Apply this as theory support for in-scope CNA observation, reporting, documentation, and care-plan follow-through."
